depth (m),gas age (a B1950),CH4 (ppbv)
1119.27,74107.2,453
1122.02,74346.8,448
1124.77,74556.2,452
1127.57,74841.2,451
1130.27,75069.2,461
1133.02,75246.6,469
1135.77,75456.3,467
1138.52,75705.8,477
1141.27,75863.2,461
1144.02,76268.9,416
1146.77,76649.4,415
1149.52,76968.7,424
1152.27,77363.3,438
1155.02,77723.3,422
1157.77,77955.9,466
1160.52,78209.1,442
1163.27,78492.9,442
1166.02,78696,472
1168.77,78939.1,475
1171.52,79270.3,450
1174.27,79520.6,463
1177.02,79716.2,477
1179.22,79912.2,487
1182.55,80133,497
1185.27,80341.5,512
1188.02,80615.7,515
1190.77,80743,515
1193.52,80978.3,536
1196.27,81152.4,563
1199.02,81386.8,535
1201.77,81579,550
1204.52,81823.3,549
1207.27,82019.8,548
1210.52,82321.4,584
1212.82,82512.7,576
1215.52,82662.8,595
1218.27,82815.1,571
1221.02,83047.7,606
1223.77,83244.2,617
1226.52,83372.2,616
1229.27,83601.8,622
1232.02,83764.3,629
1234.77,83959.6,631
1237.52,84113.9,560
1240.27,84366.6,515
1243.02,84570.1,485
1245.77,84790.4,465
1248.52,84996,464
1251.27,85248.1,445
1254.02,85446.7,450
1256.77,85764.9,443
1259.52,86003.4,452
1262.27,86273.4,454
1265.57,86581.8,429
1267.77,86819.2,425
1270.52,87054.8,468
1273.27,87348.4,429
1276.02,87636.5,448
1278.77,87889.1,446
1281.52,88278.8,480
1284.27,88576.8,507
1287.02,88915.4,502
1289.77,89161.9,508
1292.52,89454.2,501
1295.27,89693.5,494
1298.02,89960.1,494
1300.77,90227.3,476
1303.55,90464.7,463
1309.02,91025.6,445
1311.77,91364.9,447
1314.52,91747.8,461
1317.27,91996.2,437
1320.02,92307.3,432
1322.77,92551.9,448
1325.52,92822.8,447
1328.27,93024.2,437
1331.02,93278.7,437
1333.77,93493.1,442
1336.52,93720.7,439
1342.02,94162.8,436
1344.77,94421.6,442
1347.52,94608.5,434
1350.27,94827.2,454
1353.02,95070.1,436
1355.77,95330.2,453
1358.52,95408.9,442
1361.27,95705.5,435
1364.02,95986.5,453
1366.77,96169.1,464
1369.52,96334.7,486
1372.27,96595.7,479
1375.02,96902.4,495
1377.77,97147.9,501
1380.52,97437.7,491
1383.27,97682.2,487
1386.02,97988.3,505
1388.77,98247,506
1391.52,98508.8,511
1394.3,98760.1,512
1397.02,98941.7,524
1399.77,99110.3,526
1402.52,99354.3,526
1405.27,99637,525
1408.02,99895.3,530
1410.77,100170,530
1413.52,100355,547
1416.27,100541,537
1419.02,100740,547
1421.77,100925,538
1424.52,101114,542
1427.27,101305,511
1430.53,101617,491
1432.77,101824,509
1435.52,102044,472
1438.27,102316,470
1441.02,102616,498
1443.77,102995,515
1446.52,103403,559
1449.27,103676,573
1452.02,103970,581
1454.77,104320,602
1457.52,104655,596
1460.27,104964,572
1463.02,105195,618
1465.77,105496,601
1468.52,105774,595
1471.27,105980,591
1474.02,106114,483
1476.77,106341,445
1479.52,106670,460
1482.27,106972,464
1485.02,107268,475
1487.77,107648,486
1490.52,108036,508
1493.27,108398,495
1496.02,108770,509
1498.77,109091,502
1501.52,109506,505
1504.27,109837,492
1507.02,110119,496
1509.8,110499,473
1512.52,110861,474
1515.27,111195,456
1518.02,111503,455
1520.8,111829,464
1523.52,112188,467
1526.78,112654,451
1529.02,112901,471
1531.77,113165,471
1537.27,113730,473
1540.02,114020,474
1542.77,114303,472
1545.52,114606,501
1548.27,114861,496
1551.02,115158,501
1553.77,115435,495
1556.52,115672,504
1559.27,115973,528
1562.02,116317,544
1564.77,116492,533
1567.52,116666,546
1573.02,117188,548
1575.77,117405,545
1578.52,117625,579
1581.27,117879,565
1584.02,118161,578
1586.77,118432,579
1590.04,118698,591
1592.27,118845,567
1595.02,119050,571
1597.77,119289,566
1600.52,119521,576
1603.27,119763,568
1606.02,119987,591
1608.77,120183,613
1611.52,120374,598
1614.27,120583,601
1617.02,120821,613
1619.77,121016,610
1622.52,121223,603
1625.27,121467,609
1628.02,121676,607
1630.77,121883,608
1633.52,122112,599
1636.27,122338,607
1639.52,122608,607
1641.77,122798,608
1644.52,123016,615
1647.32,123241,616
1650.02,123463,611
1652.77,123665,614
1655.52,123815,621
1658.27,124003,622
1661.54,124295,632
1663.77,124431,627
1666.52,124625,642
1669.27,124860,642
1672.02,125115,647
1674.77,125327,656
1677.55,125566,658
1680.27,125809,650
1683.02,126059,660
1685.77,126308,640
1688.52,126532,651
1691.27,126740,650
1694.02,126889,646
1696.77,127079,670
1699.52,127304,677
1702.27,127505,681
1702.78,127541,679
1705.02,127661,692
1707.77,127830,706
1710.52,128027,715
1713.27,128173,704
1716.02,128315,722
1718.77,128509,726
1721.53,128708,644
1724.27,128880,535
1727.02,129080,537
1729.77,129255,552
1732.52,129439,551
1735.27,129661,531
1738.02,129847,515
1740.77,130034,512
1744.01,130246,499
1746.27,130415,521
1749.02,130634,518
1751.77,130861,487
1754.52,131107,493
1757.27,131369,494
1760.02,131697,479
1762.77,132041,456
1765.52,132367,461
1768.27,132660,462
1771.02,132999,460
1773.77,133361,449
1776.53,133722,506
1779.27,134077,428
1782.02,134520,436
1784.77,134974,415
1787.52,135391,404
1790.32,135916,382
1793.49,136604,409
1795.77,137073,375
1799.56,137783,395
1801.27,138123,395
1804.57,138822,406
1806.77,139278,368
1809.52,139933,432
1812.27,140531,358
1815.02,141097,342
1817.77,141688,349
1820.52,142326,359
1823.27,142959,368
1826.49,143676,375
1828.77,144193,385
1831.55,144762,401
1834.3,145396,401
1837.02,146028,375
1839.77,146647,391
1843.03,147370,402
1845.27,147707,410
1848.49,148340,421
1850.77,148901,423
1853.52,149411,471
1856.3,149925,428
1859.49,150615,433
1861.77,151012,441
1864.52,151437,404
1867.32,152022,400
1870.02,152582,432
1872.82,153149,422
1875.99,153793,426
1878.27,154233,413
1881.03,154881,402
1883.77,155521,403
1886.52,156212,393
1889.27,156888,385
1892.02,157526,407
1894.77,158222,399
1897.52,158872,422
1900.32,159460,400
1903.02,159958,410
1905.77,160558,407
1908.52,160835,440
1911.27,161359,407
1914.02,162003,415
1916.77,162647,410
1919.98,163415,424
1922.27,163739,413
1925.02,164159,442
1927.77,164737,411
1930.52,165360,417
1933.32,166176,393
1936.03,166967,384
1938.77,167605,424
1941.52,168267,433
1944.27,168957,449
1947.02,169617,479
1949.77,170117,495
1952.52,170681,496
1955.27,171220,445
1958.02,171916,478
1960.77,172554,442
1963.53,173311,448
1966.27,174065,484
1969.02,174709,480
1974.52,175829,433
1977.78,176776,456
1980.02,177357,427
1982.77,177966,457
1985.52,178527,471
1988.27,179175,466
1991.02,179864,499
1993.77,180380,547
1996.52,180711,550
1999.27,181260,542
2002.47,181852,479
2004.77,182381,483
2007.52,183105,452
2010.27,183627,490
2013.51,184352,496
2015.77,184859,496
2018.52,185487,528
2021.27,186102,530
2024.51,186902,532
2026.77,187393,514
2029.52,188036,476
2032.27,188588,459
2035.02,189133,447
2038.23,189659,437
2040.52,189988,446
2043.3,190337,462
2046.02,190951,425
2048.77,191547,423
2051.52,192145,432
2054.27,192785,470
2057.54,193564,471
2059.82,193979,496
2062.52,194339,512
2065.36,194987,503
2068.02,195614,493
2070.77,196313,472
2073.52,196886,488
2076.27,197394,530
2079.02,197886,534
2081.77,198386,548
2084.52,198929,564
2087.27,199374,589
2090.07,199823,579
2092.77,200244,598
2095.52,200717,609
2098.27,201132,668
2101.02,201577,627
2107.04,202579,539
2109.32,202954,530
2112.54,203478,539
2114.77,203861,541
2117.52,204458,466
2120.27,205050,489
2123.02,205698,436
2125.77,206272,493
2128.52,206815,462
2131.27,207288,488
2134.02,207724,490
2136.77,208231,506
2139.52,208701,487
2142.27,209181,499
2145.02,209671,513
2147.77,210094,504
2151.07,210650,515
2153.27,210993,511
2156.02,211417,532
2158.82,211871,548
2161.52,212255,565
2164.27,212650,558
2167.02,213113,579
2169.77,213542,593
2172.52,213997,577
2175.32,214454,583
2178.02,214922,586
2180.77,215334,573
2183.52,215818,574
2186.27,216226,591
2189.02,216707,561
2191.77,217104,569
2194.52,217505,506
2197.27,218009,457
2200.02,218543,480
2202.73,219104,454
2203.83,219357,443
2204.93,219595,452
2206.03,219815,445
2206.63,219963,453
2208.23,220368,460
2209.3,220650,495
2210.43,220892,461
