,age,irish_temperature,irish_rainfall,global_ch4,global_temp_x,global_temp_y,global_co2_x,sigma mean_x,global_co2_y,sigma mean_y
234,-40.873972602000094,,,1644.818870091,,,,,,
235,-40.87123287600002,,,1646.146081664,,,,,,
236,-40.87123287600002,,,1645.645630871,,,,,,
237,-40.87123287600002,,,1645.48889821,,,,,,
238,-40.86849314999995,,,1645.985347939,,,,,,
239,-40.39726027300003,,,1641.70790444,,,,,,
240,-40.31780821899997,,,1642.209317581,,,,,,
241,-40.12876712299999,,,1641.053935498,,,,,,
242,-39.85479452000004,,,1635.961874825,,,,,,
243,-39.38082191700005,,,1634.811279931,,,,,,
244,-38.47267759500005,,,1620.512942235,,,,,,
245,-37.40547945200001,,,1617.274162619,,,,,,
246,-37.02465753399997,,,1602.255564519,,,,,,
247,-37.0219178079999,,,1603.735085785,,,,,,
248,-36.865753424000104,,,1603.118338061,,,,,,
249,-36.101369862999945,,,1592.820995207,,,,,,
250,-36.101369862999945,,,1594.12481689,,,,,,
251,-35.84699999999998,,,1568.8905374046694,,,,,,
252,-34.393442622000066,,,1572.971788802,,,,,,
253,-31.761643835000086,,,1533.764340769,,,,,,
254,-30.67486338699996,,,1508.743555719,,,,,,
255,-29.101369862999945,,,1490.427340525,,,,,,
256,-28.515068492999944,,,1472.295622044,,,,,,
257,-28.31780821899997,,,1468.79942109,,,,,,
258,-23.5,,,1404.5952880000002,,,,,,
259,-23.16453458476144,,,1421.4856000000002,,,,,,
260,-22.200000000000045,,,1379.88239,,,,,,
261,-22.1400000000001,,,1352.3342054419688,,,,,,
262,-21.700000000000045,,,1380.28395,,,,,,
263,-17.033236348841456,,,1288.4556000000002,,,,,,
264,-11.739028957640357,,,1218.4768000000001,,,,,,
265,-8.261999999999944,,,1177.1454613028575,,,,,,
266,-6.194605351638302,,,1164.2942666666668,,,,,,
267,-6.194605351638302,,,1171.7908000000002,,,,,,
268,-6.194605351638302,,,1183.8388,,,,,,
269,-0.3243294617718675,,,1103.65936,,,,,,
270,5.76299999999992,,,1072.2945601641034,,,,,,
271,7.5,,,1085.4956339999999,,,,,,
272,11.842317491864378,,,1053.0176000000001,,,,,,
273,12.5,,,1052.4388174,,,,,,
274,14.5,,,1040.93841184,,,,,,
275,20.25,,,1014.7115038,,,,,,
276,21.241985194411427,,,1006.432,,,,,,
277,21.82293683084572,,,997.0446,,,,,,
278,25.416666666666742,,,993.0649282285716,,,,,,
279,30.375,,,959.3202178,,,,,,
280,37.5,,,916.1943243999999,,,,,,
281,44.246807724456175,,,890.972,,,,,,
282,48.218499741094774,,,868.4322,,,,,,
283,53.0,,,850.6784045,,,,,,
284,55.0,,,857.4478328,,,,,,
285,56.0,,,852.2660133333333,,,,,,
286,56.914722033054886,,,836.77608,,,,,,
287,60.0,,,844.0354616,,,,,,
288,60.0,,,843.5142071999999,,,,,,
289,62.0,,,833.6102050000001,,,,,,
290,63.0,,,841.5658184,,,,,,
291,64.6454782558435,,,845.7294,,,,,,
